Date,High,Low,Open,Close,Volume,Adj Close
2022-04-27,918.00.00,6876.45.00,10564.57.00,9381.10.00,25652100,9381.10.00
2022-04-28,900.00.00,12487.52.00,17232.00.00,9377.10.00,41649500,9377.10.00
2022-04-29,7601.04.00,870.00.00,5068.40.00,13536.50.00,29313400,13536.50.00
2022-05-02,6905.45.00,1348.29.00,13693.40.00,16568.42.00,25260500,16568.42.00
2022-05-03,2257.37.00,10721.47.00,3902.53.00,5075.40.00,21236500,5075.40.00
2022-05-04,9288.20.00,5552.09.00,16569.42.00,11285.15.00,27214600,11285.15.00
2022-05-05,10944.36.00,12523.52.00,1272.40.00,5540.09.00,30839700,5540.09.00
2022-05-06,888.00.00,2676.05.00,887.00.00,11698.44.00,24264100,11698.44.00
2022-05-09,11345.05.00,3281.24.00,8336.12.00,2620.05.00,30270100,2620.05.00
2022-05-10,6824.45.00,4940.40.00,5985.38.00,1466.18.00,28133900,1466.18.00
2022-05-11,13642.40.00,4060.32.00,795.00.00,734.00.00,32408200,734.00.00
2022-05-12,11758.33.00,680.00.00,701.00.00,728.00.00,46771000,728.00.00
2022-05-13,6619.56.00,10251.07.00,8772.40.00,10602.47.00,30651800,10602.47.00
2022-05-16,13435.50.00,2219.27.00,3433.13.00,6890.35.00,28628000,6890.35.00
